,FC,log2(FC),raw.pval,#NAME?
M323.019T128.103,3.3843,1.7589,0.019213,1.7164
M353.082T316.368,3.4374,1.7813,0.019237,1.7159
M870.702T1303.064,3.0755,1.6208,0.019274,1.715
M395.048T106.9,4.7314,2.2423,0.019392,1.7124
M491.126T414.484,4.346,2.1197,0.019446,1.7112
M485.168T916.74,3.9805,1.993,0.019486,1.7103
M696.3T853.355,6.6283,2.7286,0.019517,1.7096
M522.878T65.745,3.1357,1.6488,0.019611,1.7075
M850.805T68.208,2.729,1.4484,0.019642,1.7068
M1296.901T900.549,4.3415,2.1182,0.019786,1.7036
M433.351T780.04,5.741,2.5213,0.019842,1.7024
M497.261T974.778,4.3328,2.1153,0.019902,1.7011
M643.851T67.124,6.8469,2.7755,0.019905,1.701
M415.161T821.344,3.2867,1.7167,0.019934,1.7004
M559.04T89.345,3.7913,1.9227,0.019996,1.6991
M758.447T1173.243,4.1847,2.0651,0.020069,1.6975
M206.988T126.118,3.1296,1.646,0.020254,1.6935
M465.141T849.089,3.5795,1.8397,0.020282,1.6929
M1099.581T1224.487,2.8815,1.5268,0.020335,1.6917
M655.189T778.866,4.3189,2.1107,0.02037,1.691
M1008.375T923.099,6.2437,2.6424,0.020391,1.6906
M772.809T66.771,8.832,3.1427,0.020638,1.6853
M1204.491T868.846,2.28,1.189,0.020642,1.6853
M890.319T900.562,5.4922,2.4574,0.020773,1.6825
M775.338T1039.594,12.261,3.616,0.020919,1.6795
M613.854T887.38,3.1458,1.6534,0.020968,1.6784
M263.13T940.795,3.3657,1.7509,0.020998,1.6778
M455.081T744.378,4.5899,2.1984,0.020999,1.6778
M983.568T1252.43,5.2732,2.3987,0.021002,1.6777
M1071.439T878.893,5.2862,2.4022,0.021056,1.6766
M409.075T744.412,3.9688,1.9887,0.021218,1.6733
M654.601T316.399,3.2294,1.6913,0.021352,1.6706
M289.084T863.831,4.1026,2.0366,0.021365,1.6703
M538.221T942.724,5.8904,2.5584,0.021545,1.6667
M369.569T765.536,2.8085,1.4898,0.02157,1.6661
M771.83T66.444,5.8908,2.5585,0.021655,1.6644
M1333.355T942.499,3.4276,1.7772,0.021785,1.6618
M578.43T1675.044,3.1833,1.6705,0.021872,1.6601
M289.086T1163.856,3.5884,1.8433,0.021879,1.66
M715.427T310.719,3.9867,1.9952,0.021904,1.6595
M688.854T66.858,9.0286,3.1745,0.021948,1.6586
M699.004T983.059,5.4894,2.4566,0.021957,1.6584
M559.728T1193.65,4.0752,2.0269,0.021997,1.6576
M354.093T750.969,3.8661,1.9509,0.022022,1.6571
M453.099T792.789,3.093,1.629,0.022077,1.6561
M447.959T106.92,5.5768,2.4794,0.02209,1.6558
M421.636T753.774,6.1323,2.6164,0.022137,1.6549
M289.886T1868.955,4.1346,2.0478,0.022185,1.6539
M313.275T1417.53,3.0245,1.5967,0.022226,1.6531
M387.346T67.938,2.7886,1.4795,0.022264,1.6524
M851.819T1425.446,5.1858,2.3746,0.022297,1.6518
M418.894T1736.453,4.6497,2.2171,0.022327,1.6512
M656.833T67.115,6.5,2.7004,0.022454,1.6487
M1048.557T894.929,4.7791,2.2567,0.022675,1.6445
M1331.507T909.803,3.688,1.8828,0.022717,1.6437
M543.282T933.008,2.6019,1.3796,0.022758,1.6429
M632.993T321.252,3.1766,1.6675,0.022775,1.6425
M466.978T106.664,2.7877,1.4791,0.022911,1.64
M281.069T746.743,3.5507,1.8281,0.022974,1.6388
M735.222T927.83,5.8785,2.5554,0.023032,1.6377
M1097.549T894.492,4.4524,2.1546,0.023034,1.6376
M310.969T105.491,4.2625,2.0917,0.023056,1.6372
M475.877T67.555,2.6109,1.3846,0.023111,1.6362
M459.959T106.348,3.2948,1.7202,0.023117,1.6361
M806.978T940.468,6.3473,2.6661,0.023294,1.6328
M869.849T1307.413,3.4569,1.7895,0.023339,1.6319
M435.217T805.716,3.867,1.9512,0.02334,1.6319
M631.877T67.938,5.0926,2.3484,0.023347,1.6318
M269.15T1584.952,3.1375,1.6496,0.023586,1.6274
M861.253T1033.436,23.977,4.5836,0.023663,1.6259
M377.162T1630.7,3.9095,1.967,0.023718,1.6249
M1223.501T894.767,4.7546,2.2493,0.023781,1.6238
M399.065T319.722,5.8044,2.5371,0.0238,1.6234
M286.972T107.919,3.1421,1.6517,0.023816,1.6231
M439.009T107.459,4.122,2.0434,0.023879,1.622
M338.938T105.668,3.8163,1.9322,0.023888,1.6218
M637.025T106.841,2.994,1.5821,0.023925,1.6211
M833.365T968.818,7.1508,2.8381,0.024063,1.6187
M863.373T951.624,4.5993,2.2014,0.024185,1.6165
M715.392T322.783,5.3611,2.4225,0.02419,1.6164
M1009.607T1323.757,3.136,1.6489,0.024195,1.6163
M486.878T66.684,2.0316,1.0226,0.024233,1.6156
M341.088T304.64,4.7446,2.2463,0.024404,1.6125
M292.14T116.338,4.5119,2.1737,0.024458,1.6116
M405.167T106.416,5.7713,2.5289,0.024553,1.6099
M728.269T963.544,7.4739,2.9019,0.024569,1.6096
M613.983T886.617,2.8893,1.5307,0.024588,1.6093
M697.905T994.286,5.9804,2.5802,0.024595,1.6092
M267.196T1364.412,2.4558,1.2962,0.024642,1.6083
M1042.422T909.151,4.6076,2.204,0.024839,1.6049
M521.022T764.729,3.4262,1.7766,0.02485,1.6047
M260.967T89.826,8.3298,3.0583,0.024895,1.6039
M621.221T884.304,3.6995,1.8873,0.025042,1.6013
M203.083T418.775,7.962,2.9931,0.025131,1.5998
M204.975T113.721,3.1993,1.6778,0.025353,1.596
M311.138T170.155,4.1422,2.0504,0.025368,1.5957
M494.233T920.795,3.7848,1.9202,0.025372,1.5957
M274.971T109.977,4.862,2.2816,0.025756,1.5891
M941.508T1318.851,3.2566,1.7034,0.025765,1.589
M611.147T106.977,3.5513,1.8284,0.025818,1.5881
M593.763T756.056,5.156,2.3663,0.025927,1.5863
M454.975T107.571,4.2704,2.0944,0.025942,1.586
M957.374T926.518,5.5468,2.4717,0.026107,1.5832
M655.873T943.419,4.9761,2.315,0.026169,1.5822
M661.226T856.483,5.1402,2.3618,0.026259,1.5807
M610.849T834.902,5.3035,2.4069,0.02631,1.5799
M557.187T899.436,2.2466,1.1678,0.026456,1.5775
M943.39T965.159,5.3899,2.4303,0.026604,1.575
M572.874T67.143,3.5239,1.8172,0.02669,1.5736
M333.062T883.084,7.3961,2.8868,0.026699,1.5735
M401.18T764.21,3.3936,1.7628,0.026835,1.5713
M1039.403T917.165,6.5844,2.719,0.026963,1.5692
M478.295T1238.56,2.1409,1.0982,0.027094,1.5671
M885.822T66.912,6.8736,2.7811,0.027138,1.5664
M1036.399T977.849,5.7978,2.5355,0.027302,1.5638
M299.259T1433.689,3.9093,1.9669,0.027453,1.5614
M531.078T845.355,4.5175,2.1755,0.027468,1.5612
M596.277T932.512,2.0941,1.0663,0.027665,1.5581
M1125.418T877.844,4.6217,2.2084,0.027731,1.557
M569.181T807.905,3.4717,1.7956,0.027867,1.5549
M505.902T66.721,5.9846,2.5813,0.027933,1.5539
M494.168T786.301,4.6052,2.2033,0.028114,1.5511
M479.19T902.518,2.7829,1.4766,0.028178,1.5501
M851.794T1356.146,2.7229,1.4452,0.028184,1.55
M418.218T902.438,4.2685,2.0937,0.028198,1.5498
M315.108T761.986,4.263,2.0919,0.028206,1.5497
M695.12T755.765,4.7433,2.2459,0.028211,1.5496
M579.151T798.32,5.3413,2.4172,0.028254,1.5489
M429.121T110.997,3.5167,1.8142,0.028273,1.5486
M413.091T89.817,2.8865,1.5293,0.028295,1.5483
M433.784T801.352,3.6187,1.8555,0.028388,1.5469
M590.015T907.684,3.6224,1.8569,0.028434,1.5462
M969.4T973.77,6.7691,2.759,0.028461,1.5458
M349.072T1165.294,3.6673,1.8747,0.028481,1.5454
M999.727T1404.686,2.868,1.52,0.028628,1.5432
M697.753T1005.082,3.6786,1.8792,0.028762,1.5412
M593.709T851.665,4.2582,2.0902,0.028975,1.538
M279.164T1571.945,3.7335,1.9005,0.029025,1.5372
M379.565T877.71,32.476,5.0213,0.029084,1.5363
M311.065T863.883,3.4744,1.7968,0.029097,1.5362
M1209.581T888.373,3.66,1.8718,0.029247,1.5339
M469.019T418.674,4.1517,2.0537,0.029295,1.5332
M553.164T782.325,3.5739,1.8375,0.029301,1.5331
M1094.293T897.844,4.6984,2.2322,0.029335,1.5326
M701.418T1268.098,3.4852,1.8012,0.029564,1.5292
M579.301T894.416,2.6021,1.3797,0.029575,1.5291
M806.159T933.966,7.0744,2.8226,0.029587,1.5289
M339.058T415.891,5.967,2.577,0.029706,1.5272
M625.024T106.841,4.4463,2.1526,0.029808,1.5257
M909.388T926.435,7.5576,2.9179,0.029842,1.5252
M355.067T660.488,2.944,1.5578,0.029849,1.5251
M695.289T1193.403,3.4656,1.7931,0.029968,1.5233
M401.027T415.826,6.613,2.7253,0.030001,1.5229
M824.816T67.434,4.8012,2.2634,0.030058,1.522
M293.179T1541.097,3.7758,1.9168,0.030106,1.5213
M260.048T118.657,5.8838,2.5568,0.03014,1.5209
M405.08T802.267,3.5219,1.8164,0.030173,1.5204
M427.009T107.872,3.9181,1.9701,0.030206,1.5199
M611.22T783.374,4.0415,2.0149,0.030251,1.5193
M477.088T1628.76,3.2796,1.7135,0.030444,1.5165
M1043.424T909.662,3.6704,1.876,0.030646,1.5136
M182.994T112.283,3.4456,1.7847,0.030688,1.513
M653.717T312.26,2.0881,1.0622,0.03074,1.5123
M431.759T791.911,4.2447,2.0857,0.03079,1.5116
M463.182T861.112,2.979,1.5748,0.031049,1.508
M911.268T936.747,7.2301,2.854,0.031138,1.5067
M322.871T96.154,3.2303,1.6917,0.031154,1.5065
M203.204T105.674,3.7538,1.9084,0.031241,1.5053
M465.105T746.988,4.5722,2.1929,0.031307,1.5044
M1462.52T939.973,6.1356,2.6172,0.03137,1.5035
M292.991T104.104,4.7948,2.2615,0.031403,1.503
M441.162T763.637,3.4441,1.7841,0.031433,1.5026
M418.974T1483.997,3.8658,1.9508,0.03155,1.501
M1193.356T907.422,4.0531,2.019,0.031576,1.5006
M942.469T1308.469,3.4692,1.7946,0.031653,1.4996
M937.515T1306.76,3.4098,1.7697,0.031665,1.4994
M1009.386T967.414,5.6698,2.5033,0.031716,1.4987
M305.082T1122.457,3.8265,1.936,0.03184,1.497
M417.764T850.924,3.6016,1.8486,0.031868,1.4966
M726.808T67.734,3.013,1.5912,0.032195,1.4922
M443.058T752.856,3.5996,1.8478,0.032245,1.4915
M886.794T67.143,11.111,3.4739,0.03232,1.4905
M1009.554T1308.282,2.9244,1.5482,0.032374,1.4898
M625.178T776.712,3.8451,1.943,0.03242,1.4892
M573.017T749.518,4.2467,2.0863,0.032583,1.487
M321.216T1624.59,3.592,1.8448,0.032641,1.4862
M921.12T945.55,2.9364,1.554,0.032647,1.4862
M1263.489T907.902,2.9403,1.5559,0.032845,1.4835
M353.052T831.694,3.9796,1.9926,0.033032,1.4811
M1229.54T895.369,4.709,2.2354,0.033034,1.481
M209.961T64.78,2.101,1.0711,0.033143,1.4796
M359.022T90.408,4.4955,2.1685,0.033336,1.4771
M577.137T781.037,6.5169,2.7042,0.03334,1.477
M429.486T320.767,3.2664,1.7077,0.033608,1.4736
M773.211T817.036,2.318,1.2129,0.033773,1.4714
M313.119T883.187,4.955,2.3089,0.03379,1.4712
M1162.845T896.125,4.7597,2.2509,0.033838,1.4706
M1327.552T905.478,2.7555,1.4623,0.03394,1.4693
M427.197T838.449,4.0146,2.0053,0.033984,1.4687
M1096.195T893.605,3.7234,1.8966,0.034048,1.4679
M1103.415T879.391,5.0023,2.3226,0.034117,1.467
M505.3T1291.082,3.3127,1.728,0.034156,1.4665
M1030.586T1195.906,2.523,1.3351,0.034371,1.4638
M1354.628T902.5,5.2306,2.387,0.034456,1.4627
M241.033T103.182,3.4755,1.7972,0.034483,1.4624
M367.102T765.544,4.234,2.082,0.034582,1.4612
M415.27T1182.702,2.5154,1.3308,0.034751,1.459
M432.997T107.064,4.0378,2.0136,0.034824,1.4581
M591.2T844.598,3.3513,1.7447,0.035507,1.4497
M429.419T313.767,4.324,2.1124,0.035664,1.4478
M1014.89T1344.191,3.3695,1.7525,0.035745,1.4468
M397.002T110.368,3.476,1.7974,0.035872,1.4452
M684.191T618.708,18.139,4.181,0.036142,1.442
M1162.051T893.06,4.2952,2.1027,0.036498,1.4377
M549.258T834.983,4.8908,2.2901,0.036634,1.4361
M576.128T818.314,6.129,2.6156,0.036791,1.4343
M289.065T88.687,3.2752,1.7116,0.036907,1.4329
M901.161T984.095,5.1421,2.3624,0.037103,1.4306
M431.769T791.594,2.9812,1.5759,0.03712,1.4304
M743.85T66.912,5.2479,2.3917,0.037145,1.4301
M757.441T1176.453,3.2015,1.6788,0.037346,1.4278
M453.035T765.753,3.0348,1.6016,0.037375,1.4274
M502.995T105.736,6.4157,2.6816,0.0374,1.4271
M311.104T1075.82,2.922,1.547,0.037726,1.4234
M728.286T863.521,3.7419,1.9038,0.037894,1.4214
M723.577T942.094,3.3222,1.7321,0.037929,1.421
M545.846T78.22,2.8496,1.5108,0.038068,1.4194
M435.959T107.38,5.8088,2.5382,0.038232,1.4176
M1095.063T894.34,4.1386,2.0492,0.038278,1.417
M865.491T1326.551,3.4824,1.8001,0.038385,1.4158
M865.489T1291.829,2.9534,1.5624,0.038465,1.4149
M569.273T895.199,3.9525,1.9828,0.038512,1.4144
M385.077T649.201,2.6337,1.3971,0.038767,1.4115
M289.026T88.643,4.571,2.1925,0.038811,1.411
M1100.582T1225.322,3.009,1.5893,0.039248,1.4062
M371.133T805.134,4.224,2.0786,0.039625,1.402
M564.68T1183.74,2.4058,1.2665,0.040073,1.3971
M501.375T66.858,6.5481,2.7111,0.04022,1.3956
M657.169T756.884,5.389,2.43,0.040405,1.3936
M684.885T67.374,8.4999,3.0874,0.040627,1.3912
M714.826T66.684,5.0695,2.3418,0.040735,1.39
M760.823T66.885,5.0777,2.3442,0.04108,1.3864
M707.828T66.684,3.5941,1.8456,0.041462,1.3823
M419.228T901.259,3.0051,1.5874,0.041604,1.3809
M391.065T766.545,2.3346,1.2232,0.042599,1.3706
M389.182T799.355,3.6561,1.8703,0.043104,1.3655
M969.698T320.725,5.8265,2.5426,0.043256,1.364
M357.49T758.525,2.5173,1.3319,0.043488,1.3616
M459.052T765.953,2.2714,1.1836,0.043866,1.3579
M333.191T983.058,3.778,1.9176,0.04405,1.3561
M280.961T95.439,3.4758,1.7974,0.044322,1.3534
M775.809T66.684,5.4888,2.4565,0.044472,1.3519
M1395.396T991.455,4.2806,2.0978,0.044631,1.3504
M643.039T106.784,2.8063,1.4887,0.044954,1.3472
M415.225T881.978,3.1396,1.6506,0.045616,1.3409
M1093.54T895.081,4.0474,2.017,0.045642,1.3406
M1161.526T895.081,4.0361,2.013,0.045964,1.3376
M272.959T67.281,3.4324,1.7792,0.045977,1.3375
M285.243T1390.408,2.3484,1.2317,0.046134,1.336
M448.965T106.062,4.2446,2.0856,0.046172,1.3356
M653.828T318.352,2.8016,1.4863,0.046445,1.3331
M403.064T798.991,3.8821,1.9568,0.046597,1.3316
M645.124T781.203,5.3718,2.4254,0.046717,1.3305
M693.17T791.92,4.2435,2.0852,0.046834,1.3294
M633.494T312.856,2.481,1.3109,0.04782,1.3204
M453.101T88.055,3.1599,1.6599,0.048551,1.3138
M569.775T895.343,3.9163,1.9695,0.048585,1.3135
M589.773T907.878,2.4641,1.3011,0.048936,1.3104
M1096.548T894.929,3.7571,1.9096,0.049084,1.3091
M569.35T895.921,4.1568,2.0555,0.049518,1.3052
M317.064T416.942,7.3375,2.8753,0.049572,1.3048
M814.836T68.186,9.1081,3.1872,0.05007,1.3004
M591.094T89.826,4.1159,2.0412,0.051147,1.2912
M268.959T125.12,2.7358,1.452,0.051617,1.2872
M524.981T106.871,3.6104,1.8522,0.051882,1.285
M1161.521T895.466,3.934,1.976,0.052025,1.2838
M367.058T823.98,4.2364,2.0828,0.052266,1.2818
M771.811T66.858,5.368,2.4244,0.052325,1.2813
M440.855T1728.569,4.6115,2.2052,0.052425,1.2805
M867.206T809.129,12.42,3.6346,0.053248,1.2737
M265.261T1518.666,3.8918,1.9604,0.053372,1.2727
M851.912T1326.892,2.1886,1.13,0.053505,1.2716
M591.465T1235.608,0.23412,-2.0947,0.053644,1.2705
M447.094T753.734,5.8339,2.5445,0.054114,1.2667
M772.366T884.107,2.0571,1.0406,0.055825,1.2532
M638.078T817.768,2.0423,1.0302,0.055927,1.2524
M805.362T924.937,3.4825,1.8001,0.056481,1.2481
M683.887T67.591,5.5946,2.484,0.056601,1.2472
M539.134T89.251,3.3132,1.7282,0.056668,1.2467
M299.07T414.239,7.9683,2.9943,0.057018,1.244
M333.041T419.397,8.756,3.1303,0.057052,1.2437
M1094.047T894.516,4.3367,2.1166,0.057129,1.2431
M271.07T418.897,7.264,2.8608,0.057674,1.239
M404.065T806.181,3.538,1.8229,0.059792,1.2234
M1137.546T907.004,3.4508,1.7869,0.060104,1.2211
M407.173T414.983,4.8958,2.2915,0.060326,1.2195
M593.857T757.673,5.2454,2.3911,0.061066,1.2142
M743.208T992.462,3.7884,1.9216,0.061243,1.2129
M323.042T818.446,4.3627,2.1252,0.061773,1.2092
M614.901T67.494,7.4578,2.8987,0.062058,1.2072
M192.103T133.173,2.2354,1.1605,0.062115,1.2068
M627.643T1193.32,2.0714,1.0506,0.064913,1.1877
M526.316T1188.04,2.2004,1.1378,0.064945,1.1875
M476.12T661.378,3.4453,1.7846,0.065366,1.1846
M265.426T1576.148,5.1581,2.3668,0.067572,1.1702
M655.999T943.196,3.3295,1.7353,0.068188,1.1663
M1161.883T894.146,2.4499,1.2927,0.068215,1.1661
M1059.606T1053.565,0.41874,-1.2559,0.068745,1.1628
M1192.04T901.764,2.848,1.51,0.070025,1.1547
M385.077T746.611,2.3693,1.2445,0.071005,1.1487
M419.03T798.766,3.5786,1.8394,0.071466,1.1459
M861.451T1062.153,3.2237,1.6887,0.071873,1.1434
M559.667T1200.71,3.6225,1.857,0.073688,1.1326
M593.543T760.107,5.2599,2.395,0.07543,1.1225
M271.021T88.704,3.9899,1.9963,0.077369,1.1114
M1269.507T907.7,2.6965,1.4311,0.078641,1.1043
M1097.561T894.34,3.9446,1.9799,0.082941,1.0812
M567.778T908.116,2.6256,1.3926,0.084357,1.0739
M754.827T67.274,3.4815,1.7997,0.086022,1.0654
M938.802T67.374,7.349,2.8775,0.086057,1.0652
M517.099T802.454,3.7657,1.9129,0.086813,1.0614
M567.276T907.878,2.8306,1.5011,0.089322,1.049
M1136.545T907.7,2.8404,1.5061,0.090605,1.0428
M570.518T894.146,3.9509,1.9822,0.092978,1.0316
M209.025T89.634,2.8131,1.4922,0.094833,1.023